servers,workload,cpu,energy,temperature,efficiency
10,49.92,49.69,657.4,31.99,86.03
9,49.96,49.22,690.97,31.86,85.54
9,50.03,50.63,720.94,31.83,85.56
9,50.11,51.61,747.41,32.07,87.23
9,50.24,51.87,770.17,32.03,87.17
9,50.39,52.52,790.17,31.86,85.48
9,50.51,52.9,807.55,31.79,85.45
9,50.69,53.02,822.45,31.74,85.41
9,50.75,53.51,835.61,31.78,85.41
9,50.84,53.93,847.22,31.86,85.41
9,50.94,54.7,857.88,31.84,85.45
9,51.0,54.55,866.77,32.03,87.08
9,51.12,54.63,874.42,32.02,87.07
9,51.27,55.3,881.6,31.89,85.44
9,51.42,55.38,887.78,31.93,85.43
9,51.58,55.21,892.86,32.01,87.08
9,51.78,55.47,897.44,31.93,85.42
9,51.87,55.5,901.37,31.94,85.42
8,52.02,56.42,890.14,31.88,85.1
8,52.06,57.82,881.86,31.98,85.29
8,52.29,58.89,875.78,31.98,85.45
8,52.37,59.73,871.37,32.02,87.24
8,52.44,60.62,868.42,32.04,87.35
8,52.4,61.09,866.34,32.04,87.41
8,52.41,61.86,865.26,31.95,85.82
8,52.28,62.69,865.09,31.96,85.9
8,52.23,62.9,865.13,31.8,85.91
8,52.07,63.53,865.74,31.78,85.96
8,51.99,63.81,866.51,31.76,85.98
8,51.95,64.01,867.34,31.74,86.0
8,51.88,64.08,868.11,31.77,85.99
8,51.81,63.94,868.64,31.9,85.97
8,51.73,64.21,869.33,31.92,85.99
8,51.53,64.52,870.2,31.79,86.0
8,51.38,64.31,870.75,31.91,85.97
8,51.16,64.72,871.59,32.01,87.67
8,50.88,64.44,872.05,32.15,87.61
8,50.61,64.4,872.4,32.09,87.58
8,50.28,64.23,872.55,32.03,87.54
8,50.03,64.03,872.49,32.11,87.49
8,49.68,63.87,872.3,32.13,87.45
8,49.4,63.28,871.61,32.13,87.36
8,49.08,62.62,870.42,32.21,87.27
8,48.64,61.83,868.7,32.24,87.16
8,48.27,61.63,867.06,32.24,87.11
8,47.87,61.28,865.36,32.34,87.05
8,47.45,60.43,863.14,32.22,86.93
8,46.99,59.98,860.85,32.07,86.85
8,46.51,59.91,858.84,32.1,86.8
8,46.03,59.45,856.72,32.16,86.72
8,45.59,58.89,854.41,32.1,86.63
8,45.2,58.24,851.86,32.08,86.53
8,44.63,57.19,848.75,32.14,86.38
8,44.02,56.72,845.69,32.11,86.28
8,43.52,56.25,842.66,32.16,86.2
8,42.96,55.99,839.85,32.17,86.12
8,42.31,55.42,836.96,32.14,86.0
8,41.55,54.75,833.89,32.1,85.86
8,40.93,53.61,830.26,32.16,85.69
8,40.23,53.23,826.82,32.15,85.58
8,39.53,52.25,823.03,31.95,83.73
8,38.81,51.94,819.52,32.0,85.31
8,38.11,51.07,815.75,31.98,83.46
8,37.38,50.54,812.07,31.96,83.33
8,36.75,50.63,809.03,31.98,83.26
8,36.11,50.22,806.07,31.92,83.14
8,35.35,49.4,802.82,31.85,82.96
8,34.67,48.15,798.94,31.79,82.74
8,33.89,47.03,794.62,31.89,82.53
8,33.25,45.94,789.97,31.83,82.33
8,32.5,44.88,785.07,31.96,82.12
8,31.73,44.12,780.22,31.95,81.94
8,30.95,43.48,775.52,31.87,81.75
8,30.38,42.58,770.71,31.97,81.58
8,29.54,41.69,765.82,32.05,83.03
8,28.82,40.83,760.9,32.03,82.82
8,28.09,40.34,756.27,31.93,80.95
8,27.26,39.76,751.81,31.82,80.68
8,26.48,38.97,747.31,31.78,80.26
8,25.78,37.71,742.36,31.62,79.69
8,25.15,36.63,737.17,31.45,79.21
8,24.3,35.37,731.63,31.43,78.59
8,23.7,34.33,725.98,31.42,78.12
8,23.01,33.49,720.42,31.49,77.67
8,22.15,32.88,715.15,31.5,77.23
8,21.59,31.94,709.83,31.45,76.77
8,20.97,30.84,704.31,31.49,76.23
8,20.39,30.69,699.49,31.48,76.0
8,19.85,29.12,693.97,31.43,75.32
8,19.33,28.47,688.7,31.5,74.93
8,18.82,28.08,683.87,31.48,74.64
8,18.35,27.9,679.6,31.46,74.4
8,18.02,27.18,675.32,31.3,74.05
8,17.77,26.31,670.89,31.37,73.69
8,17.44,25.37,666.29,31.42,73.27
8,17.08,24.53,661.63,31.59,72.86
8,17.0,23.83,657.03,31.58,72.65
8,16.87,23.15,652.52,31.69,72.42
8,16.69,22.93,648.47,31.59,72.31
8,16.61,22.64,644.78,31.65,72.22
8,16.61,22.37,641.39,31.79,72.18
8,16.55,22.07,638.25,31.86,72.09
8,16.65,21.78,635.31,31.74,72.1
8,16.66,21.35,632.43,31.91,72.01
8,16.77,21.53,630.14,31.91,72.16
8,16.87,21.64,628.3,31.81,72.28
8,17.16,21.16,626.29,31.75,72.31
8,17.37,21.18,624.61,31.85,72.45
8,17.59,21.51,623.48,31.81,72.69
8,17.91,21.7,622.69,31.85,72.92
8,18.33,21.85,622.15,31.86,73.18
8,18.68,22.03,621.86,31.81,73.4
8,19.11,22.26,621.81,31.8,73.66
8,19.52,22.9,622.35,31.71,74.04
8,19.94,22.86,622.78,31.69,74.19
8,20.32,23.14,623.38,31.78,74.42
7,20.81,23.37,612.33,31.76,73.76
7,21.32,25.0,604.22,31.78,74.6
7,21.79,25.5,597.71,31.74,75.03
7,22.41,26.54,593.01,31.68,75.65
7,23.07,27.39,589.67,31.62,76.19
7,23.67,27.76,587.13,31.43,76.52
7,24.16,29.22,586.13,31.43,77.16
7,24.78,30.61,586.36,31.3,77.79
7,25.35,31.82,587.51,31.24,78.33
